Player,Position,Age,Games,Minutes Played,True Shooting(%),Threepoint Attempt rate,Free throw attempt rate,Player Efficiency Rating
Precious Achiuwa,PF,21,28,408,0.599,0,0.541,15.1
Jaylen Adams,PG,24,6,17,0.125,0.25,0,-6.9
Steven Adams,C,27,27,760,0.592,,0.397,15.9
Bam Adebayo,C,23,26,873,0.641,0.015,0.469,22.7
LaMarcus Aldridge,C,35,18,480,0.542,0.298,0.093,15.2
Ty-Shon Alexander,SG,22,3,8,0,0.333,0,-11.9
Nickeil Alexander-Walker,SG,22,23,441,0.502,0.463,0.17,12
Grayson Allen,SG,25,19,454,0.63,0.721,0.264,14
Jarrett Allen,C,22,28,734,0.695,0.021,0.695,22.5
Jarrett Allen,C,22,12,320,0.73,0,0.938,21.3
Jarrett Allen,C,22,16,414,,0.032,0.568,23.5
Al-Farouq Aminu,PF,30,2,16,0.798,1,2,7.5
Kyle Anderson,PF,27,24,675,0.579,0.401,0.249,17.8
Giannis Antetokounmpo,PF,26,27,906,0.62,0.216,0.54,28.3
Kostas Antetokounmpo,PF,23,1,8,0,0,0,-9.1
Thanasis Antetokounmpo,SF,28,18,149,0.688,0.269,0.269,10.3
Carmelo Anthony,PF,36,27,683,0.515,0.386,0.241,13.8
Cole Anthony,PG,20,25,667,0.469,0.309,,10.3
OG Anunoby,SF,23,18,619,0.632,0.548,0.258,14.7
Ryan Arcidiacono,PG,26,11,107,0.534,0.667,0.208,11.2
D.J. Augustin,PG,33,27,480,0.514,0.642,0.277,10.8
Deni Avdija,SF,20,22,503,0.534,0.576,0.144,8.9
Deandre Ayton,C,22,27,866,0.617,0.058,0.219,17.7
Udoka Azubuike,C,21,12,49,0.622,0,0.857,10.6
Dwayne Bacon,SG,25,29,721,0.513,0.297,0.197,10.7
Marvin Bagley III,PF,21,25,623,0.53,0.26,0.268,13.9
LaMelo Ball,PG,19,28,776,0.542,0.414,0.198,18.2
Lonzo Ball,PG,23,25,,0.554,0.622,,14.2
Mo Bamba,C,22,13,113,0.56,0.278,0.093,23.4
Desmond Bane,SG,22,20,456,0.631,0.548,0.11,12.6
Harrison Barnes,PF,28,27,948,0.615,0.392,0.389,15.7
RJ Barrett,SG,20,30,1012,0.504,0.233,0.275,13.1
Will Barton,SF,30,25,,0.54,0.396,0.176,11.6
Keita Bates-Diop,SF,25,8,27,,0.444,0.667,0.3
Nicolas Batum,SF,32,27,806,0.67,0.683,0.164,14.8
Aron Baynes,C,34,25,470,0.463,0.37,0.062,8.4
